GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
smart-house,ru.netology,Conditioner,24,52,4,4,12,16,10,7,6,7
smart-house,ru.netology,Radio,19,115,0,16,7,39,6,21,6,13
